@relation sms_test

@attribute spamclass {spam,ham}
@attribute text String

@data
ham,'Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?'
spam,'Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery'
spam,'You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810'
ham,'Keep yourself safe for me because I need you and I miss you already and I envy everyone that see\'s you in real life'
ham,'New car and house for my parents.:)i have only new job in hand:)'
ham,'I\'m so in love with you. I\'m excited each day i spend with you. You make me so happy.'
spam,'-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468'
spam,'BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu'
ham,'I place all ur points on e cultures module already.'
spam,'URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only'
ham,'Hi frnd, which is best way to avoid missunderstding wit our beloved one\'s?'
ham,'Great escape. I fancy the bridge but needs her lager. See you tomo ‘
ham,'Yes :)it completely in out of form:)clark also utter waste.'
ham,'Sir, I need AXIS BANK account no and bank address.'
ham,'Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ‘
ham,'What time you coming down later? ‘
ham,'Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ‘
ham,'Well, i\'m gonna finish my bath now. Have a good...fine night.'
ham,'Let me know when you\'ve got the money so carlos can make the call'
ham,'U still going to the mall?'
ham,'Turns out my friends are staying for the whole show and won\'t be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth'
ham,'Text her. If she doesnt reply let me know so i can have her log in'
ham,'Hi! You just spoke to MANEESHA V. We\'d like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.'
ham,'You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend'
ham,'Lol no. U can trust me.'
ham,'ok. I am a gentleman and will treat you with dignity and respect.'
ham,'He will, you guys close?'
ham,'Going on nothing great.bye'
ham,'Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where\'s my boytoy now ? Does he miss me ?'
ham,'Haha awesome, be there in a minute'
spam,'Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!'
ham,'Have you got Xmas radio times. If not i will get it now'
ham,'I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...'
spam,'Are you unique enough? Find out from 30th August. www.areyouunique.co.uk'
ham,'I\'m sorry. I\'ve joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|'
ham,'Hi :)finally i completed the course:)'
ham,'It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.'
ham,'How are you doing? Hope you\'ve settled in for the new school year. Just wishin you a gr8 day'
ham,'Gud mrng dear hav a nice day'
ham,'Did u got that persons story'
ham,'is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ‘
ham,'Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx'

